,Buy and Hold Sharpe,Buy and Hold Total Return,Number of Trades,Strategy Sharpe,Strategy Total Return,Symbols
255,0.02987860128398144,0.3240593601434948,25.0,0.8333171262822123,0.9476464803527656,MRO
256,0.12789113379463748,0.4107589706532321,4.0,1.2640702665814023,0.031991372230111365,MSFT
257,0.0877412524389603,0.2964063198403821,24.0,1.0996210568342937,0.2822391761717726,MSI
260,0.1234741147707004,0.4211909045059541,3.0,1.2270289839507635,0.09341191232633028,MTD
262,0.025756728148832016,0.16251052321703408,5.0,2.731810572316398,0.20087626445379492,MYL
263,-0.03693059748786193,-0.3082143903310578,1.0,0.02370717728279285,0.02370717728279285,M
264,-0.00846276691474773,-0.044531299172451466,7.0,1.7168183281935832,0.29827489861877504,NAVI
265,-0.03973158079973755,-0.2578109766767761,5.0,0.7572530292276907,0.042121814659901315,NBL
267,0.06452188088051317,0.17806558569907394,5.0,2.467239237200652,0.1471194372793989,NDAQ
268,0.06297727361581804,0.1862764347365614,25.0,1.0154855838013834,0.3490544938779132,NEE
269,0.011812114992801158,0.06864148339002951,3.0,1.2203151443454439,0.03828741967564769,NEM
270,0.1360310762519713,0.8093825207794404,20.0,1.3410963321071885,0.6710229789306174,NFLX
271,-0.02271947318867909,-0.1860084836279562,13.0,0.9894879431293221,0.3712762971259169,NFX
272,0.01639883353679283,0.048081411457989276,16.0,1.886307512201371,0.24443504932708274,NI
273,0.06598821949753432,0.28309066303925,18.0,1.187096764666975,0.3901226835132773,NKE
274,-0.03323331096064995,-0.14321257263834397,3.0,-0.12926817630250703,-0.0021579746218942843,NLSN
275,0.1329121261106335,0.3981709214382001,17.0,1.3726201228775712,0.378278862055006,NOC
276,0.01862810011780929,0.10630763720114489,19.0,0.9248339671027703,0.33566159855617733,NOV
277,0.11025048423503248,0.9018838183332989,2.0,10.501396970240712,0.1456637936812096,NRG
279,0.12168052805032785,0.626426858113176,1.0,0.008134980415787982,0.008134980415787982,NTAP
282,0.13467442444438116,1.311429125541351,24.0,0.9358255935957187,1.2025326907671532,NVDA
283,-0.023099907886056932,-0.2768805797367614,11.0,0.6188042377388903,0.23976961313904852,NWL
284,0.08854604846818416,0.32055367337876295,4.0,2.8281436407805374,0.040712201406489894,NWSA
285,0.08460512135179139,0.31322261048133515,7.0,1.0379262961034246,0.09722009703342857,NWS
286,0.0416821378292242,0.19927529395702337,7.0,3.1785213222915405,0.18914042504104775,OKE
287,-0.01215953897680736,-0.04493449746631428,3.0,2.0204083804032926,0.05420301614433725,OMC
288,0.06703624551241848,0.24454644393414737,3.0,1.694804795481859,0.06259518679579845,ORCL
289,0.004821621307667897,0.02851045175897593,5.0,3.305727357316907,0.10265907038677793,ORLY
290,0.015972477465265488,0.0625091703024433,17.0,1.417656371589873,0.3618457109247147,OXY
291,-0.024388996011965498,-0.08591084926664405,12.0,1.0542068540898932,0.21323612456960309,O
292,0.061008396440095786,0.18787684125547688,12.0,1.2202555415920588,0.12923643662576634,PAYX
293,0.043982442604537646,0.15835324482908852,6.0,1.3874397749896301,0.11366318299998587,PBCT
294,0.05546360857858165,0.23792728987218636,7.0,1.7052549272578776,0.30713428159760736,PCAR
295,-0.08583290087382325,-0.400282634154674,8.0,0.8906431629803672,0.09301960429390976,PCG
296,0.06299678263645227,0.2708936997960478,10.0,0.7285917984442141,0.08742846768080627,PCLN
297,-0.04767583448985571,-0.26858705171086916,11.0,0.5501901211922422,0.2853849733150078,PDCO
298,0.047936868367500836,0.14465578929333978,17.0,1.1657583549350823,0.27067006293257484,PEG
299,0.029518792677118797,0.06779039763538319,8.0,0.3329710546005042,0.051588488017754855,PEP
300,0.05038792376457118,0.15619580213363204,16.0,0.8826000741736743,0.22833900698348944,PFE
303,-0.018982674280828945,-0.04648088342054724,4.0,1.3565648728656545,0.06445800473333085,PG
304,0.12013124761023464,0.503288130117324,3.0,0.9567085538896186,0.06046333450439554,PHM
306,0.11024448632885973,0.41195273757341444,21.0,0.4896600517642222,0.22098157126114126,PKG
307,0.11925591462510521,0.3968009197023511,5.0,2.7641599374992074,0.049148726498956005,PKI
308,0.0517155433316136,0.1878242504798957,3.0,2.6790652283244443,0.30613857231081065,PLD
309,0.010067079466570275,0.0330917057303145,1.0,0.0213036565977743,0.0213036565977743,PM
311,0.0598124670968698,0.2380414728412974,2.0,2.2821015755532676,0.029341800077056383,PNR
312,0.004859976634025656,0.013148764801634516,26.0,0.4719384897647688,0.14651739542262562,PNW
314,-0.04567084313804201,-0.12098433471511938,14.0,0.6525307814384006,0.0920330070360405,PPL
315,0.016675203828517775,0.11022049368707865,7.0,0.9447182612227455,0.17276644633961658,PRGO
317,-0.03246332158831551,-0.11347270734521253,9.0,1.1671271952278421,0.09189636777622102,PSA
318,0.06069599763150054,0.1957399010386236,10.0,1.7091832217514855,0.17694903853171998,PSX
